pink-red,pink-orange,pink-yellow,pink-green,pink-blue,pink-purple,red-orange,red-yellow,red-green,red-blue,red-purple,orange-yellow,orange-green,orange-blue,orange-purple,yellow-green,yellow-blue,yellow-purple,green-blue,green-purple,blue-purple,average,var,std
3.51,0.72,1.33,0.63,1.04,0.8,3.28,2.17,1.87,2.65,2.55,0.43,0.79,0.29,0.75,0.69,0.45,0.45,0.44,0.79,0.01,1.22,1.0,1.0
1.11,0.74,0.13,1.72,0.83,0.33,0.53,3.19,0.28,2.63,3.56,2.53,0.85,2.05,3.44,3.42,2.51,0.8,2.94,3.26,3.02,1.9,1.44,1.2
3.1,0.06,2.37,2.0,0.38,3.48,0.22,0.22,0.58,4.54,0.0,0.71,0.51,0.31,0.13,1.52,2.71,0.57,2.47,0.57,3.5,1.43,1.87,1.37
3.05,2.57,0.6,2.68,1.06,0.17,1.99,3.81,0.94,1.79,3.15,2.85,2.71,1.79,2.16,3.97,2.06,0.69,1.76,3.59,1.37,2.13,1.11,1.05
1.08,2.05,1.45,1.84,0.84,1.45,0.2,0.38,1.05,0.12,0.42,3.84,1.16,2.25,2.98,0.05,0.69,0.02,0.56,0.2,0.67,1.11,0.98,0.99
1.17,1.26,1.13,0.45,0.91,0.66,0.65,0.08,0.78,0.29,0.26,0.44,0.95,0.92,0.15,1.04,0.44,0.49,1.03,0.58,0.09,0.66,0.13,0.36
0.64,0.59,1.15,0.06,1.33,0.59,1.22,1.55,0.21,0.74,1.45,0.12,1.0,1.34,1.22,1.51,0.16,0.15,1.62,1.38,0.21,0.87,0.29,0.54
0.88,0.68,0.28,1.35,0.11,0.46,1.2,0.25,1.09,1.41,0.3,0.8,0.0,0.06,0.61,0.84,0.78,0.59,1.51,0.5,0.31,0.67,0.19,0.44
1.94,1.05,0.29,0.07,0.81,0.27,1.49,1.92,2.94,3.06,1.58,1.78,2.7,0.95,0.53,0.24,1.12,0.3,0.01,1.16,0.62,1.18,0.83,0.91
1.46,0.82,0.77,1.72,4.74,0.54,0.85,0.45,0.3,3.52,0.82,0.08,0.87,4.45,0.92,0.24,4.16,2.06,3.24,0.57,2.67,1.68,2.14,1.46
1.13,1.0,1.04,3.11,0.83,1.88,1.95,0.23,2.47,2.22,0.63,0.62,0.29,0.41,0.71,2.18,1.03,0.88,1.86,1.08,0.58,1.24,0.61,0.78
3.44,3.91,1.95,3.83,3.0,1.78,2.41,1.27,2.4,1.97,2.6,2.75,0.03,0.71,2.12,2.07,2.01,1.77,0.21,1.55,1.42,2.06,1.01,1.0
1.41,0.36,0.53,0.44,0.66,0.53,2.14,0.37,1.12,0.01,0.15,1.07,1.48,0.89,0.45,0.04,1.32,1.03,0.67,0.95,1.2,0.8,0.27,0.52
1.01,2.34,2.24,1.07,0.32,0.66,3.41,3.32,2.09,1.33,1.47,0.07,0.43,1.52,2.46,0.95,1.72,2.18,0.73,0.87,0.34,1.45,0.87,0.93
0.7,0.76,0.16,0.08,2.63,1.71,1.3,1.4,1.56,0.37,1.24,0.12,0.17,0.53,0.06,0.11,0.88,0.56,1.46,0.33,0.41,0.79,0.45,0.67
4.51,3.2,2.15,2.25,2.81,0.45,1.26,1.94,2.46,2.73,4.16,0.87,1.13,0.93,2.34,0.52,1.51,1.44,0.56,0.12,1.84,1.87,1.34,1.16
1.34,0.89,1.21,3.27,1.52,0.13,1.98,2.91,4.55,2.91,1.57,0.0,0.94,0.21,0.25,0.81,0.63,0.95,1.76,2.68,0.77,1.49,1.35,1.16
2.06,0.46,0.35,0.85,1.03,1.29,0.08,2.41,0.67,2.51,0.64,0.49,0.7,0.17,0.57,1.64,0.25,1.37,1.33,0.51,0.78,0.96,0.48,0.69
0.92,1.04,0.26,0.06,0.68,0.08,0.58,1.14,1.23,0.27,0.3,1.04,1.57,1.17,0.02,0.05,0.39,0.26,0.45,0.81,0.46,0.61,0.2,0.45
2.87,3.38,0.62,1.36,2.0,0.31,1.74,0.86,1.95,0.33,2.79,1.28,1.97,1.92,3.56,1.07,0.26,0.61,1.14,1.61,1.64,1.58,0.89,0.95
2.32,1.36,1.23,1.41,0.65,0.44,1.3,2.64,0.51,1.59,2.67,0.31,1.1,0.33,1.85,1.47,0.82,2.38,0.55,1.51,1.47,1.33,0.52,0.72
0.02,0.37,1.18,0.72,2.53,0.4,0.53,0.48,0.24,0.65,0.55,1.68,0.97,2.92,0.37,1.54,0.15,1.52,2.6,1.48,3.11,1.14,0.87,0.93
1.1,1.08,0.5,0.44,0.89,2.73,0.01,0.29,0.45,0.28,1.74,0.56,0.77,0.7,1.53,0.19,0.66,1.7,0.3,2.2,2.0,0.96,0.53,0.73
